interfaceName,switchId,interfaceType,mode,networkOSType,adminState,allowedVlans,cdp,debounceTimer,description,extraConfig,fec,lacpPortPriority,lacpRate,policyType,portChannelId,portChannelMode,primaryInterface,ptp
Ethernet1/2,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d002-m3-02-2-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel202,active,vPC202,FALSE
Ethernet1/3,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d008-m3-02-4-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/4,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d008-m3-02-4-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel204,active,vPC204,FALSE
Ethernet1/5,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d014-m3-02-6-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
Ethernet1/6,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d014-m3-02-6-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel206,active,vPC206,FALSE
Ethernet1/7,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d020-m3-02-8-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/8,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d020-m3-02-8-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
Ethernet1/9,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d026-m3-02-10-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/10,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d026-m3-02-10-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/11,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d032-m3-02-12-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/12,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d032-m3-02-12-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/13,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d038-m3-02-14-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/14,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d038-m3-02-14-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/15,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d044-m3-02-16-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/16,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d044-m3-02-16-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
Ethernet1/17,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d050-m3-02-18-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel217,active,vPC217,FALSE
Ethernet1/18,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d050-m3-02-18-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel218,active,vPC218,FALSE
Ethernet1/1,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d002-m3-02-2-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
Ethernet1/19,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bplcmm002-m3-02-20-ocp-p1,,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/20,FLM30050K9E,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bplcmm002-m3-02-20-nic2-p1,,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/1,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d003-m3-03-2-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
Ethernet1/2,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d003-m3-03-2-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel202,active,vPC202,FALSE
Ethernet1/3,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d009-m3-03-4-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/4,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d009-m3-03-4-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel204,active,vPC204,FALSE
Ethernet1/5,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d015-m3-03-6-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
Ethernet1/6,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d015-m3-03-6-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel206,active,vPC206,FALSE
Ethernet1/7,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d021-m3-03-8-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/8,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d021-m3-03-8-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
Ethernet1/9,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d027-m3-03-10-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/10,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d027-m3-03-10-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/11,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d033-m3-03-12-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/12,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d033-m3-03-12-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/13,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d039-m3-03-14-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/14,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d039-m3-03-14-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/15,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d045-m3-03-16-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/16,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d045-m3-03-16-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
Ethernet1/17,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d051-m3-03-18-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel217,active,vPC217,FALSE
Ethernet1/18,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d051-m3-03-18-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel218,active,vPC218,FALSE
Ethernet1/19,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bplcmm003-m3-02-20-ocp-p1,,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/20,FLM30054DXJ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bplcmm003-m3-02-20-nic2-p1,,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/1,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d003-m3-03-2-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
Ethernet1/2,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d003-m3-03-2-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel202,active,vPC202,FALSE
Ethernet1/3,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d009-m3-03-4-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/4,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d009-m3-03-4-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel204,active,vPC204,FALSE
Ethernet1/5,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d015-m3-03-6-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
Ethernet1/6,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d015-m3-03-6-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel206,active,vPC206,FALSE
Ethernet1/7,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d021-m3-03-8-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/8,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d021-m3-03-8-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
Ethernet1/9,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d027-m3-03-10-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/10,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d027-m3-03-10-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/11,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d033-m3-03-12-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/12,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d033-m3-03-12-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/13,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d039-m3-03-14-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/14,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d039-m3-03-14-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/15,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d045-m3-03-16-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/16,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d045-m3-03-16-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
Ethernet1/17,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d051-m3-03-18-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel217,active,vPC217,FALSE
Ethernet1/18,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d051-m3-03-18-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel218,active,vPC218,FALSE
Ethernet1/19,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bplcmm003-m3-02-20-ocp-p2,,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/20,FLM30050KEN,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bplcmm003-m3-02-20-nic2-p2,,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/1,FLM300309AW,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d004-m3-04-2-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
